;Scopy version,f4beeb1
;Exported on,Wednesday May 22/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
688,-0.02476,0.193359,-2.95508
689,-0.02475,0.190184,-2.95349
690,-0.02474,0.188597,-2.95191
691,-0.02473,0.185423,-2.95191
692,-0.02472,0.179075,-2.94873
693,-0.02471,0.179075,-2.94873
694,-0.0247,0.174314,-2.94873
695,-0.02469,0.174314,-2.94714
696,-0.02468,0.17114,-2.94397
697,-0.02467,0.167966,-2.94556
698,-0.02466,0.166379,-2.9408
699,-0.02465,0.163205,-2.93921
700,-0.02464,0.160031,-2.93604
701,-0.02463,0.156856,-2.93604
702,-0.02462,0.155269,-2.93445
703,-0.02461,0.152095,-2.93286
